date,cargo_cnt,cargo_cnt,cargo_cnt
2015-01-01,3.373,102.0,3.475
2015-02-01,3.273,100.0,3.373
2015-03-01,3.962,116.0,4.078
2015-04-01,3.124,96.0,3.22
2015-09-01,4.008,114.0,4.122
2015-10-01,4.141,108.0,4.249
2015-12-01,3.765,178.0,3.943
2016-01-01,3.779,107.0,3.885
2016-02-01,3.853,102.0,3.954
2016-03-01,4.034,117.0,4.15
2016-04-01,3.613,92.0,3.705
2016-09-01,4.53,112.0,4.642
2016-10-01,4.617,115.0,4.732
2016-12-01,4.135,300.0,4.435
2017-01-01,3.403,189.0,3.592
2017-02-01,3.485,130.0,3.615
2017-03-01,4.671,160.0,4.831
2017-04-01,4.088,121.0,4.209
2017-09-01,4.894,141.0,5.035
2017-10-01,5.17,146.0,5.316
2017-12-01,5.035,191.0,5.226
2018-01-01,5.094,140.0,5.234
2018-02-01,4.354,138.0,4.492
2018-03-01,5.124,158.0,5.282
2018-04-01,4.476,139.0,4.615
2018-09-01,4.907,176.0,5.083
2018-10-01,5.198,230.0,5.428
2018-12-01,4.602,238.0,4.84
2019-01-01,4.718,127.0,4.844
2019-02-01,4.308,115.0,4.423
2019-03-01,5.055,207.0,5.262
2019-04-01,4.243,137.0,4.38
2019-09-01,4.273,132.0,4.405
2019-10-01,4.681,114.0,4.796
2019-12-01,4.422,174.0,4.596
2020-01-01,4.722,124.0,4.846
2020-02-01,4.169,111.0,4.28
2020-03-01,3.919,82.0,4.001
2020-04-01,3.005,23.0,3.028
2020-09-01,3.777,69.0,3.847
2020-10-01,4.089,83.0,4.172
2020-12-01,4.556,150.0,4.706
2021-01-01,4.32,76.0,4.396
2021-02-01,4.172,66.0,4.238
2021-03-01,5.355,85.0,5.44
2021-04-01,4.425,77.0,4.502
2021-09-01,5.28,123.0,5.403
2021-10-01,5.546,109.0,5.655
2021-12-01,5.137,136.0,5.273
2022-01-01,4.462,91.0,4.552
2022-02-01,4.186,79.0,4.265
2022-03-01,5.059,80.0,5.138
2022-04-01,5.211,64.0,5.276
2022-09-01,4.517,109.0,4.626
2022-10-01,4.429,103.0,4.532
2022-12-01,4.952,131.0,5.083
2023-01-01,5.22,92.0,5.313
2023-02-01,4.92,91.0,5.011
2023-03-01,5.299,94.0,5.393
2023-04-01,4.462,67.0,4.53
2023-09-01,5.174,91.0,5.265
2023-10-01,5.306,90.0,5.396
2023-12-01,5.223,112.0,5.335
2024-01-01,4.857,85.0,4.942
2024-02-01,5.153,99.0,5.252
2024-03-01,4.648,108.0,4.756
2024-04-01,4.312,99.0,4.411
2024-09-01,5.214,153.0,5.366
2024-10-01,6.015,168.0,6.183
2024-12-01,5.419,136.0,5.555
2025-01-01,5.166,79.0,5.245
2025-02-01,5.119,81.0,5.2
2025-03-01,5.256,92.0,5.348
2025-04-01,4.822,91.0,4.913
2025-09-01,5.387,79.0,5.466
2025-10-01,,,0.0
2025-12-01,,,0.0
